Property_ID,City,Location,BHK,Bathrooms,Size_in_SqFt,Age_of_Property,Parking,Floor,Total_Floors,Furnishing,Distance_to_Metro_km,School_Rating,Hospital_Distance_km,Crime_Index,Price_in_Lakhs
33,Pune,Wakad,2,3,951,17,1,7,8,Unfurnished,7.1,3.8,4.6,3.9,72.9
34,Pune,Hadapsar,5,6,4494,14,1,27,28,Semi-Furnished,4,3.1,5.2,7.9,299
35,Bengaluru,Electronic City,4,3,3261,9,1,5,13,Semi-Furnished,8.2,2.8,2.1,7.2,261.2
36,Hyderabad,Kukatpally,4,4,2911,14,3,1,6,Furnished,6,4.4,7.6,1.2,250.6
37,Pune,Kharadi,1,1,602,24,3,17,18,Semi-Furnished,8.3,4,2,3,42.2
38,Hyderabad,Kukatpally,3,4,1688,14,1,17,24,Unfurnished,6,3.9,0.5,6.8,119.5
39,Pune,Wakad,1,1,644,10,1,10,19,Semi-Furnished,13.2,3.2,7.6,4.8,35.2
40,Pune,Hinjewadi,5,4,3683,7,0,20,29,Unfurnished,0.7,3.1,6.8,6.6,258.6
41,Pune,Hinjewadi,5,5,4154,22,2,11,29,Unfurnished,9.2,4.4,1.2,8.4,293.8
42,Hyderabad,Miyapur,1,1,744,21,3,6,17,Unfurnished,10.4,4.1,1.1,8,41.5
43,Hyderabad,Miyapur,1,1,722,13,2,5,7,Unfurnished,6.4,3.7,3.6,4.3,51.2
44,Pune,Wakad,4,4,3302,16,2,17,24,Semi-Furnished,7.1,4.6,4.9,3.9,230.2
45,Hyderabad,Kondapur,4,4,3336,14,3,0,15,Semi-Furnished,5,3.7,3,3.3,287.2
46,Chennai,Porur,1,1,493,7,3,17,20,Semi-Furnished,10.4,4.1,4.1,8.1,22.6
47,Bengaluru,Indiranagar,2,2,1579,18,2,17,20,Semi-Furnished,6.5,4.4,2.8,7.3,170.7
48,Chennai,Velachery,1,1,611,3,1,3,11,Semi-Furnished,4.3,4,6.2,6.4,61
49,Bengaluru,Electronic City,2,2,1083,9,0,17,27,Unfurnished,0.9,2.6,2.5,9.5,86.6
50,Pune,Hinjewadi,1,1,690,15,3,5,15,Furnished,3.9,4.7,1.2,1.6,70.1
51,Hyderabad,Madhapur,2,2,987,7,0,13,22,Semi-Furnished,11.9,3.1,4.3,5.1,83.8
52,Pune,Baner,5,4,2656,24,1,6,25,Unfurnished,1.4,3.1,4.6,2.4,212.7
53,Pune,Baner,1,1,597,22,2,27,27,Semi-Furnished,10.4,4.8,6.4,6.6,40.6
54,Bengaluru,Indiranagar,1,1,781,4,2,1,9,Unfurnished,11.9,4,6.6,9.3,68.7
55,Pune,Baner,4,4,2824,17,3,2,19,Semi-Furnished,13.4,4.3,4.9,1.2,228.4
56,Hyderabad,Kondapur,5,4,2967,15,3,2,13,Furnished,6.7,4.5,7.8,5.2,286.1
57,Chennai,OMR,2,2,1321,22,3,10,14,Furnished,12.2,3.9,3.8,3.8,92
58,Pune,Hadapsar,1,2,661,1,1,11,21,Semi-Furnished,7.6,3.6,0.7,3.4,48.1
59,Chennai,Tambaram,4,3,1859,20,1,5,27,Semi-Furnished,0.4,3.5,2,8.6,115.9
60,Hyderabad,Madhapur,4,4,2842,22,2,15,18,Furnished,3.8,3.9,3.3,9.3,282.1
61,Bengaluru,Whitefield,3,4,2046,25,2,2,5,Semi-Furnished,12.6,3.9,5.4,8.8,188.4
62,Pune,Baner,3,4,2282,10,1,7,27,Semi-Furnished,3.7,4.4,0.6,7.7,204
63,Pune,Kharadi,2,3,937,4,2,7,8,Unfurnished,13.7,2.5,1.4,8.8,75.2
64,Hyderabad,Kukatpally,3,3,2626,22,3,2,25,Furnished,12.8,4.6,3.2,3.8,202.1
65,Pune,Hadapsar,1,1,570,20,2,11,12,Unfurnished,14.7,4.4,5.7,1.9,20
66,Chennai,OMR,1,1,857,1,2,11,16,Semi-Furnished,3.8,3.5,5.5,2.6,64.8
67,Pune,Hadapsar,2,3,1497,4,1,8,19,Semi-Furnished,10.1,4.7,3.9,3.6,111.2
68,Hyderabad,Kukatpally,3,3,2658,13,2,9,19,Unfurnished,5.9,3.7,2.1,6.1,178.9
69,Chennai,OMR,4,4,1816,18,0,23,24,Semi-Furnished,13.6,3.2,6.5,6.5,124.6
70,Bengaluru,Marathahalli,3,3,2636,3,0,12,14,Semi-Furnished,8.8,4.3,1,3.7,242.9
71,Bengaluru,HSR Layout,2,2,1443,16,2,4,10,Furnished,14.2,4.9,2.6,8.8,161.3
72,Pune,Hinjewadi,2,2,1780,21,3,17,30,Semi-Furnished,11.9,2.5,4.4,5.1,116.8
73,Chennai,Porur,4,4,2021,21,1,0,20,Semi-Furnished,14.2,3.3,5,6.8,126.4
74,Pune,Baner,4,3,2086,1,0,7,14,Unfurnished,3.7,3.8,3.3,4.3,188.7
75,Pune,Hadapsar,2,3,1570,3,3,13,24,Furnished,4.3,4.2,2,5,127.9
76,Chennai,OMR,3,3,1474,12,2,1,11,Furnished,12.4,2.7,1.9,6.8,123.7
77,Hyderabad,Kondapur,2,2,1705,18,1,3,7,Semi-Furnished,12.2,3.1,6.3,8.1,121.8
78,Chennai,Velachery,2,2,1717,5,0,0,26,Unfurnished,5.5,4.5,4.8,1.1,122.9
79,Bengaluru,Indiranagar,5,4,2510,15,3,11,29,Semi-Furnished,1.8,3.8,7.6,1.4,317.9
80,Chennai,Tambaram,1,1,695,12,3,3,26,Semi-Furnished,13.7,2.7,0.9,6.5,20
81,Chennai,Porur,5,5,3810,19,2,16,19,Semi-Furnished,1.7,4.3,6.9,6.9,259.8
82,Bengaluru,Indiranagar,4,4,2647,10,3,13,17,Semi-Furnished,4.8,3.3,2.3,9.6,312.7
83,Pune,Hinjewadi,1,1,497,13,0,23,28,Semi-Furnished,2.1,2.6,7.7,6.1,34.2
84,Pune,Baner,4,3,2389,19,2,3,16,Semi-Furnished,3.3,4.1,2,2,218.7
85,Chennai,OMR,3,3,2228,17,0,21,24,Furnished,4.2,3,5.7,3.8,167.7
86,Hyderabad,Madhapur,2,3,971,4,0,3,7,Semi-Furnished,6.9,2.9,2.7,3.9,107.9
87,Hyderabad,Gachibowli,2,2,1672,19,0,2,26,Unfurnished,10,3.7,3.7,3.5,136
88,Hyderabad,Kondapur,4,3,2380,21,3,21,21,Semi-Furnished,3.5,5,0.7,2.8,233.2
89,Bengaluru,Electronic City,3,3,1595,0,3,13,28,Unfurnished,5.8,4.3,4.2,8.5,147.4
90,Hyderabad,Kukatpally,1,2,459,14,0,13,15,Semi-Furnished,10.7,3.5,1.2,1.2,29.6
91,Pune,Baner,1,2,882,3,1,18,18,Semi-Furnished,1.4,4.7,6,3,95.6
92,Hyderabad,Miyapur,1,1,847,11,2,26,28,Semi-Furnished,2.4,2.8,2.3,2.6,53
93,Hyderabad,Madhapur,4,5,3345,18,3,18,26,Semi-Furnished,14.8,3.3,7.8,3.8,291.4
94,Pune,Kharadi,3,3,2561,1,2,2,21,Semi-Furnished,6.9,2.6,6.7,1.7,211.9
95,Hyderabad,Miyapur,5,6,4145,18,0,18,19,Semi-Furnished,5,3.7,1.5,1.6,277.6
96,Chennai,OMR,5,5,2410,7,3,16,19,Semi-Furnished,2.5,3.4,2.5,4.7,208.9
97,Hyderabad,Kondapur,1,1,498,17,3,4,14,Semi-Furnished,9.9,4.8,7,4,42.7
98,Bengaluru,Electronic City,3,4,1614,19,0,8,14,Semi-Furnished,11.9,4.5,5.5,8.5,133.4
99,Hyderabad,Kukatpally,5,5,2324,11,2,3,10,Semi-Furnished,11.5,3,8,2.4,181.6
100,Hyderabad,Miyapur,5,4,3629,24,1,12,24,Unfurnished,2.9,4.2,5.1,9.1,226.5
101,Hyderabad,Kukatpally,3,3,2259,19,2,23,29,Semi-Furnished,3.7,3.1,7.7,8.1,165.8
102,Bengaluru,Electronic City,5,6,4141,24,2,12,29,Semi-Furnished,6.4,2.9,1.8,6.4,341.4
103,Hyderabad,Kukatpally,3,2,2406,3,2,2,7,Unfurnished,13.6,2.9,3.7,9.5,140.1
104,Pune,Baner,1,2,477,12,2,6,12,Furnished,5.7,2.6,7.5,8.6,38.9
105,Bengaluru,HSR Layout,1,1,874,15,1,22,29,Semi-Furnished,9.3,4.8,0.4,2.9,84.5
106,Pune,Hinjewadi,3,3,1966,3,0,6,12,Semi-Furnished,9.4,2.7,6.7,5.5,147
107,Bengaluru,HSR Layout,3,4,1353,19,2,9,12,Semi-Furnished,10,2.7,7.8,1.6,148.1
108,Hyderabad,Kukatpally,4,3,3101,12,2,11,13,Unfurnished,11.9,3.4,5.9,6.7,201.5
109,Chennai,Velachery,1,1,729,10,1,21,29,Semi-Furnished,10.5,4.1,6.5,1.6,56.1
110,Pune,Hinjewadi,3,3,1439,25,1,2,6,Furnished,7.8,5,4.5,3.3,131.4
111,Bengaluru,Electronic City,3,2,2692,10,2,5,8,Semi-Furnished,6.1,3.6,7.7,4.1,207.1
112,Pune,Baner,5,5,2588,23,3,6,7,Semi-Furnished,12.4,3.9,2.8,1.7,229.1
113,Chennai,Tambaram,5,6,2932,22,3,14,16,Unfurnished,13.1,3.4,8,3.5,174.7
114,Hyderabad,Gachibowli,4,4,2850,25,1,1,5,Furnished,10.2,3.6,1.3,3.1,288.9
115,Chennai,Tambaram,5,4,2878,21,3,11,16,Semi-Furnished,1.3,2.8,3.1,3.8,182.1
116,Hyderabad,Gachibowli,2,3,1430,12,0,12,13,Unfurnished,6.8,5,2.5,9.2,127.1
117,Hyderabad,Madhapur,1,2,538,22,3,5,7,Semi-Furnished,10.7,3.9,2.5,3.7,39.2
118,Bengaluru,Electronic City,5,5,2747,6,1,12,12,Semi-Furnished,5.5,3.9,3.9,9.8,237.1
119,Hyderabad,Gachibowli,3,4,2330,16,3,13,29,Furnished,1.3,4.9,5.2,5,259.7
120,Chennai,Velachery,5,5,2778,13,0,8,8,Unfurnished,2.6,3.3,5.8,4.1,221.3
121,Chennai,OMR,3,3,2650,17,2,4,9,Semi-Furnished,1.6,4.1,4.9,6.2,188.2
122,Chennai,Porur,1,1,491,1,2,6,25,Semi-Furnished,6.4,4.1,4.1,6.6,36.4
123,Chennai,Tambaram,2,3,1204,14,0,1,27,Unfurnished,6.4,3.7,2.9,2.3,80
124,Chennai,Anna Nagar,4,4,3357,11,0,7,15,Semi-Furnished,4.2,3.1,1,3.6,290.7
125,Pune,Wakad,2,2,1491,23,2,2,11,Semi-Furnished,7.8,3.7,2.7,1.2,110.1
126,Pune,Wakad,2,2,949,1,2,19,20,Furnished,9.9,3.7,4.4,8.6,75.8
127,Chennai,Anna Nagar,4,4,1892,12,0,17,23,Unfurnished,8.4,2.7,4.2,7.9,150
128,Hyderabad,Madhapur,1,2,641,25,2,11,22,Semi-Furnished,3.1,3.8,4.2,1.4,55.1
129,Chennai,Tambaram,5,6,2860,19,1,10,15,Unfurnished,14.9,4.3,2.6,4,172.2
130,Pune,Hadapsar,3,4,1384,11,2,3,26,Furnished,8.8,4.5,5.9,7.2,105.9
131,Pune,Baner,5,5,2460,18,3,8,10,Semi-Furnished,9.4,4.6,1.4,7.1,213.8
132,Hyderabad,Madhapur,1,2,610,13,1,6,18,Semi-Furnished,11.7,4.8,7,7.6,40
133,Bengaluru,Marathahalli,2,2,1578,15,3,5,15,Semi-Furnished,8.1,3.9,5.5,8.8,135.8
134,Chennai,Porur,4,4,2304,8,2,4,12,Semi-Furnished,10.6,4.2,4.1,5.3,163.2
135,Chennai,Anna Nagar,1,2,652,11,1,0,14,Unfurnished,10.8,3.4,3.7,3.3,47.5
136,Bengaluru,Marathahalli,3,3,1631,3,1,0,12,Semi-Furnished,8.1,4.1,0.7,4.7,166.7
137,Hyderabad,Madhapur,1,1,658,20,3,20,20,Unfurnished,14.5,3.3,5.3,9.2,22.2
138,Bengaluru,Marathahalli,1,1,663,5,0,15,17,Unfurnished,11.3,4.7,2.5,1.3,53.2
139,Hyderabad,Kondapur,3,4,2663,17,3,8,9,Semi-Furnished,3.1,2.8,1.6,5.1,225
140,Bengaluru,Whitefield,3,3,2512,21,1,9,10,Furnished,13.5,4.6,4.3,1.8,262.2
141,Bengaluru,HSR Layout,4,4,2308,0,2,7,17,Semi-Furnished,4.2,3.3,4.8,6.2,262.1
142,Chennai,Velachery,1,1,688,9,1,16,17,Furnished,13.3,4.4,5.6,6.7,53.6
143,Chennai,Porur,2,2,1036,15,1,19,19,Semi-Furnished,10.6,4.8,6.1,8.2,69.4
144,Bengaluru,Marathahalli,1,2,720,22,2,1,7,Unfurnished,8.3,3.8,4.7,2.3,50.9
145,Pune,Hinjewadi,2,3,993,16,3,1,30,Semi-Furnished,7.8,3.6,0.7,5.2,91.5
146,Hyderabad,Kukatpally,3,2,1796,18,0,3,6,Semi-Furnished,1.1,5,7.5,1.6,152.4
147,Hyderabad,Kondapur,4,4,3374,4,3,12,16,Semi-Furnished,13.8,3.4,0.9,9.7,288.1
148,Bengaluru,Electronic City,1,1,725,12,1,7,28,Furnished,11.4,4.9,3.9,7.5,54.4
149,Pune,Wakad,2,3,1254,4,2,11,11,Semi-Furnished,0.7,4.2,5,9.4,114.1
150,Bengaluru,HSR Layout,1,1,754,1,3,21,24,Semi-Furnished,0.9,4.4,3.4,3.1,96.4
151,Hyderabad,Madhapur,5,5,3209,23,2,19,23,Semi-Furnished,12.3,3.1,7,9.9,280.9
152,Pune,Baner,3,2,2490,18,1,21,25,Semi-Furnished,7.5,4.9,7.6,7,198.4
153,Chennai,Tambaram,4,4,2414,12,1,17,29,Semi-Furnished,12.8,3.3,5.7,8.3,145.2
154,Pune,Kharadi,5,5,3840,7,2,5,11,Semi-Furnished,13.8,4.6,1,7.5,300.4
155,Chennai,Tambaram,5,4,2548,6,1,6,20,Furnished,5.1,4.9,0.4,9.4,198.4
156,Hyderabad,Kukatpally,2,2,1306,7,2,9,29,Semi-Furnished,8.1,3.4,2.3,5.6,98.5
157,Hyderabad,Kukatpally,3,3,2109,10,3,4,6,Furnished,11.2,2.5,4.6,6.3,163.9
158,Chennai,Velachery,2,2,1135,12,1,17,20,Semi-Furnished,10.3,3.1,6.6,9.7,75.2
159,Pune,Kharadi,2,2,1073,4,3,8,10,Furnished,14.4,3.8,6.8,1.7,101.5
160,Hyderabad,Gachibowli,4,4,3525,20,1,2,7,Unfurnished,7.7,3.4,5.1,7,292.4
161,Pune,Kharadi,1,1,722,17,3,0,5,Semi-Furnished,4.3,4.9,0.4,8.3,65.3
162,Bengaluru,Whitefield,1,1,573,6,2,8,16,Semi-Furnished,1.4,4.9,3.8,3.2,80.9
163,Chennai,OMR,1,1,657,12,3,15,22,Unfurnished,0.3,2.9,4.1,4.9,56.1
164,Hyderabad,Miyapur,1,1,558,22,3,0,13,Furnished,10.3,3.2,4.5,6.9,20
165,Chennai,OMR,2,2,1670,22,3,4,7,Unfurnished,3.8,4.6,3.3,9.1,106.2
166,Bengaluru,Whitefield,5,5,2469,3,3,1,12,Semi-Furnished,11.6,4.9,3.4,8,263.1
167,Chennai,Tambaram,4,4,2528,17,3,5,18,Semi-Furnished,10,2.7,5.1,8.2,148.8
168,Hyderabad,Kondapur,2,3,1628,25,1,12,28,Semi-Furnished,1.8,2.5,2.7,4.2,129
169,Bengaluru,Whitefield,2,3,1359,17,3,0,8,Unfurnished,8.4,4,6.3,8.8,110.7
170,Pune,Kharadi,1,1,742,16,1,12,26,Unfurnished,4.2,3.2,1.4,2.5,48.5
171,Chennai,Tambaram,1,1,578,7,3,19,24,Unfurnished,1.8,3.3,7.6,4,42.8
172,Chennai,Tambaram,3,4,2683,19,1,5,14,Semi-Furnished,10.5,3.7,1.7,4.6,146.1
173,Pune,Hadapsar,2,2,1285,8,3,3,16,Furnished,3.2,5,1.7,7.9,101.5
174,Pune,Wakad,4,4,3502,22,0,25,30,Semi-Furnished,7.6,4.1,2.2,6.9,238.2
175,Pune,Hinjewadi,4,5,2992,12,3,1,22,Semi-Furnished,5.5,4.7,4.4,6.7,235.1
176,Bengaluru,Electronic City,2,1,1476,20,3,10,29,Furnished,6.6,2.5,2.3,5.6,118.4
177,Bengaluru,Indiranagar,3,4,2298,24,1,0,16,Semi-Furnished,4.6,4.8,1,8.5,266.8
178,Chennai,Anna Nagar,3,4,1773,16,3,15,16,Unfurnished,10.9,3.6,0.8,1.4,157.2
179,Hyderabad,Kondapur,1,1,829,7,1,5,22,Semi-Furnished,6.5,3.7,6.4,6.7,58.7
180,Pune,Kharadi,1,1,680,18,3,0,17,Semi-Furnished,3.2,4.4,6.5,1.6,52.7
181,Bengaluru,Electronic City,3,3,2287,3,2,15,26,Semi-Furnished,9.7,4,5,6.3,187.2
182,Pune,Hadapsar,2,2,1529,18,0,4,26,Semi-Furnished,3.7,2.8,3.2,2.3,96.2
183,Bengaluru,Marathahalli,4,5,2180,15,1,5,22,Semi-Furnished,2.3,3.3,3.8,1.5,215.1
184,Hyderabad,Kukatpally,2,2,1734,12,3,15,18,Semi-Furnished,12.6,3.7,0.9,1.3,129.3
185,Chennai,OMR,3,3,2451,9,1,14,29,Semi-Furnished,11.6,3.7,4.2,6.2,165.3
186,Chennai,Porur,1,2,729,6,3,3,8,Unfurnished,15,3.6,3,8.4,34
187,Hyderabad,Madhapur,2,2,1781,22,3,9,10,Unfurnished,3.3,3,0.8,4.2,141.6
188,Bengaluru,Electronic City,3,3,2522,8,0,6,9,Furnished,14.9,4.7,1.3,8.8,206.4
189,Chennai,Velachery,4,5,2091,18,2,13,25,Semi-Furnished,1.3,4.5,6.2,4.6,190.4
190,Chennai,Tambaram,4,4,2991,0,0,14,28,Semi-Furnished,10.5,4.6,6.4,4.6,193.5
191,Bengaluru,Indiranagar,3,3,1930,10,1,15,23,Semi-Furnished,13.4,4.4,0.7,6.6,225.1
192,Hyderabad,Gachibowli,2,3,1367,0,3,11,11,Furnished,13.3,3.3,7,8.9,128.7
193,Chennai,Anna Nagar,1,1,790,20,1,3,6,Semi-Furnished,10.9,4.4,3.6,1.8,51
194,Bengaluru,Indiranagar,1,1,753,7,3,0,5,Semi-Furnished,12.3,5,3.6,2.2,81.2
195,Pune,Hinjewadi,1,1,610,11,2,6,9,Semi-Furnished,11.3,2.8,7.9,2.3,35.6
196,Hyderabad,Miyapur,2,3,1259,23,1,23,25,Unfurnished,6.3,4.2,6.9,1.8,71.9
197,Hyderabad,Miyapur,4,4,2679,10,1,4,12,Semi-Furnished,3.9,4,5.9,3.6,203.1
198,Hyderabad,Kondapur,2,2,1665,12,2,1,25,Semi-Furnished,11.9,3.1,3.3,3.2,134.7
199,Hyderabad,Miyapur,1,1,612,4,3,13,23,Semi-Furnished,10.3,4.4,7.6,7.9,29.9
200,Hyderabad,Gachibowli,3,3,1431,1,3,9,21,Semi-Furnished,7.6,3.5,5.7,1.7,158.7
201,Bengaluru,Electronic City,1,1,490,16,1,4,30,Semi-Furnished,6,4.1,6.7,7.1,25.7
202,Pune,Wakad,1,1,494,13,0,19,19,Semi-Furnished,4.8,4.4,6,2.1,43.1
203,Hyderabad,Madhapur,4,4,2871,16,2,5,10,Unfurnished,11.8,3.2,7.1,7.9,219.3
204,Pune,Baner,5,4,3327,22,0,14,20,Semi-Furnished,1,4.6,1.6,2.4,294
205,Hyderabad,Madhapur,5,4,2430,0,1,3,6,Semi-Furnished,13.8,2.9,7.7,1.3,241.7
206,Pune,Wakad,3,3,2202,23,2,13,13,Unfurnished,5.7,3.8,7.2,2.6,146.6
207,Hyderabad,Kukatpally,1,2,893,9,2,2,15,Semi-Furnished,0.3,3,4.6,3.7,76.7
208,Pune,Baner,5,6,3050,23,1,0,9,Furnished,0.6,3.9,5.2,7.2,277.4
209,Chennai,OMR,4,4,2012,6,1,15,18,Furnished,14.6,2.9,2.5,1.4,162.3
210,Pune,Baner,4,3,2989,3,1,12,25,Unfurnished,8.6,3.6,7.7,3.1,221.8
211,Chennai,Tambaram,3,3,2277,8,1,3,7,Unfurnished,11.6,2.8,1.1,5,114.5
212,Hyderabad,Miyapur,3,3,2275,9,3,13,13,Unfurnished,2.5,4.2,6.7,7.3,142
213,Chennai,Velachery,1,1,632,12,0,9,26,Unfurnished,14.9,2.6,3.4,5.1,26.4
214,Bengaluru,Whitefield,4,3,3446,25,1,0,8,Unfurnished,11.8,3.1,1.8,4.6,293.1
215,Hyderabad,Miyapur,5,5,2557,0,0,10,11,Semi-Furnished,2.1,4.8,6.7,4,201.1
216,Pune,Hinjewadi,2,3,1741,23,3,0,20,Semi-Furnished,6.5,3.4,7.3,3.5,124.6
217,Bengaluru,Whitefield,5,5,3458,15,3,15,22,Unfurnished,4.3,2.8,1.8,9,322.3
218,Hyderabad,Kukatpally,3,4,2465,25,3,16,16,Semi-Furnished,4.2,2.6,4.9,1.3,185.4
219,Chennai,OMR,4,4,3370,18,1,1,10,Unfurnished,3.8,3.8,6.4,7.6,225.7
220,Bengaluru,Marathahalli,4,4,3518,5,1,9,12,Semi-Furnished,11.1,3.4,4.9,7.3,299.4
221,Bengaluru,Marathahalli,2,3,1455,9,1,1,20,Unfurnished,3.6,3,4.4,1,137.3
222,Bengaluru,HSR Layout,3,3,2012,1,0,9,9,Semi-Furnished,2.3,2.8,4.4,4.3,216.9
223,Pune,Hadapsar,1,1,604,10,1,6,10,Semi-Furnished,14.4,4.1,1.6,9.7,30
224,Chennai,Velachery,5,5,3799,9,2,2,9,Semi-Furnished,14.2,4.9,3.3,9.9,295.4
225,Hyderabad,Madhapur,5,5,3154,20,0,4,20,Semi-Furnished,1.4,3.4,2.8,6.7,308.5
226,Chennai,Tambaram,1,1,557,7,0,8,16,Semi-Furnished,10.9,2.6,3.7,4.8,20
227,Pune,Kharadi,4,4,2918,12,0,18,20,Semi-Furnished,10.4,2.9,0.9,8.6,217.1
228,Chennai,Anna Nagar,1,1,625,5,3,1,10,Semi-Furnished,13.5,2.7,4.9,6.5,42
229,Hyderabad,Kukatpally,2,3,1060,1,0,6,15,Furnished,6.3,3.9,7.4,5.9,98
230,Chennai,Velachery,1,1,651,18,3,0,9,Semi-Furnished,6.5,3.2,5.4,6.4,34.7
231,Hyderabad,Madhapur,2,2,983,15,0,12,14,Semi-Furnished,7.4,4.2,1,5.9,86.7
232,Pune,Baner,2,3,945,8,3,8,19,Unfurnished,4.2,2.7,6.1,7,73.3
233,Chennai,Porur,4,4,2933,1,3,13,21,Furnished,10.4,4.8,4.7,3.1,217.6
234,Pune,Hinjewadi,5,5,2742,24,3,2,10,Furnished,12.2,2.8,3.6,9.9,219.6
235,Bengaluru,Marathahalli,3,3,1487,2,3,12,22,Semi-Furnished,12.9,3.8,7.4,1.1,150.4
236,Pune,Hinjewadi,4,4,2103,18,0,1,8,Semi-Furnished,13,4.7,7.1,3.4,166.3
237,Pune,Hinjewadi,2,2,1312,4,3,3,6,Furnished,5.1,3.1,6,9.3,118.3
238,Hyderabad,Kondapur,3,3,1924,15,0,2,12,Semi-Furnished,11.2,4.4,2.8,7.6,161.4
239,Hyderabad,Madhapur,4,4,3487,13,3,16,29,Furnished,12.4,3.8,1.5,3.8,340.7
240,Bengaluru,Marathahalli,5,4,2961,6,1,1,6,Unfurnished,0.9,3.4,1.8,4.3,266.4
241,Pune,Hinjewadi,1,1,640,15,3,7,10,Semi-Furnished,5.4,2.9,7.2,7.7,43.3
242,Chennai,OMR,4,3,2133,18,1,10,12,Unfurnished,3.3,4.1,4.3,8.8,160.8
243,Hyderabad,Kukatpally,2,2,1515,25,0,4,12,Semi-Furnished,14.2,4.3,5.8,3.5,97.6
244,Chennai,Tambaram,3,3,2305,9,3,3,23,Unfurnished,15,4.9,6.8,6.1,124.1
245,Chennai,Anna Nagar,1,2,482,10,2,10,25,Furnished,4.1,4.3,7.2,3.7,50.2
246,Bengaluru,Whitefield,5,6,3559,21,1,0,28,Semi-Furnished,15,3.1,3.5,4.5,335.1
247,Bengaluru,Electronic City,2,3,1587,11,2,10,10,Furnished,2.9,2.7,1.3,3.3,155.1
248,Bengaluru,Electronic City,1,1,631,7,2,10,18,Semi-Furnished,8.9,3.7,1.2,1.5,59.9
249,Hyderabad,Kukatpally,2,1,1788,21,3,9,21,Semi-Furnished,13.1,2.9,7.9,4.1,113.1
